dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.487746,3.150532,0.000149,0.014941,0.747059,37.352941,0.027666
0.020000,1.487774,3.150533,0.000177,0.001391,-0.677507,-71.228281,0.027565
0.020000,1.487820,3.150534,0.000224,0.002318,0.046350,36.192860,0.027396
0.020000,1.487885,3.150536,0.000288,0.003245,0.046324,-0.001322,0.027160
0.020000,1.487968,3.150538,0.000372,0.004170,0.046287,-0.001852,0.026857
0.020000,1.488070,3.150541,0.000474,0.005095,0.046239,-0.002385,0.026486
0.020000,1.489349,3.150574,0.001753,0.063948,2.942672,144.821634,0.026049
0.020000,1.491728,3.150636,0.004133,0.119005,2.752817,-9.492745,0.025544
0.020000,1.494424,3.150704,0.006830,0.134853,0.792423,-98.019676,0.024972
0.020000,1.497438,3.150778,0.009845,0.150734,0.794042,0.080904,0.024333
0.020000,1.500769,3.150858,0.013176,0.166576,0.792074,-0.098385,0.023628
0.020000,1.504417,3.150943,0.016825,0.182450,0.793737,0.083168,0.022855
0.020000,1.508381,3.151032,0.020791,0.198290,0.791982,-0.087742,0.022017
0.020000,1.512664,3.151124,0.025074,0.214155,0.793257,0.063712,0.021111
0.020000,1.517263,3.151219,0.029674,0.230004,0.792464,-0.039616,0.020140
0.020000,1.522179,3.151315,0.034591,0.245846,0.792087,-0.018880,0.019103
0.020000,1.527411,3.151412,0.039825,0.261688,0.792110,0.001183,0.018000
0.020000,1.532961,3.151509,0.045376,0.277542,0.792693,0.029154,0.016832
0.020000,1.538828,3.151604,0.051243,0.293379,0.791845,-0.042440,0.015598
0.020000,1.545012,3.151697,0.057427,0.309213,0.791683,-0.008068,0.014299
0.020000,1.551512,3.151785,0.063928,0.325043,0.791529,-0.007698,0.012935
0.020000,1.558329,3.151869,0.070746,0.340870,0.791332,-0.009874,0.011507
0.020000,1.565462,3.151945,0.077880,0.356692,0.791092,-0.011997,0.010015
0.020000,1.572912,3.152014,0.085330,0.372508,0.790811,-0.014066,0.008459
0.020000,1.580679,3.152074,0.093096,0.388333,0.791230,0.020959,0.006840
0.020000,1.588761,3.152122,0.101179,0.404140,0.790362,-0.043368,0.005157
0.020000,1.597160,3.152158,0.109578,0.419938,0.789908,-0.022696,0.003411
