dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.495353,2.875637,0.000149,0.014941,0.747059,37.352941,0.027666
0.020000,1.495353,2.875637,0.000598,0.029882,0.747059,0.000000,0.027565
0.020000,1.495353,2.875637,0.001345,0.044824,0.747059,0.000000,0.027396
0.020000,1.495353,2.875637,0.002391,0.059765,0.747059,0.000000,0.027160
0.020000,1.495353,2.875637,0.003735,0.074706,0.747059,0.000000,0.026857
0.020000,1.495353,2.875637,0.005379,0.089647,0.747059,0.000000,0.026486
0.020000,1.496511,2.875667,0.007321,0.104588,0.747059,0.000000,0.026049
0.020000,1.498752,2.875725,0.009562,0.119529,0.747059,-0.000000,0.025544
0.020000,1.501291,2.875789,0.012102,0.134471,0.747059,0.000000,0.024972
0.020000,1.504129,2.875859,0.014941,0.149412,0.747059,0.000000,0.024333
0.020000,1.507266,2.875935,0.018079,0.164353,0.747059,0.000000,0.023628
0.020000,1.510701,2.876015,0.021515,0.179294,0.747059,0.000000,0.022855
0.020000,1.514435,2.876098,0.025251,0.194235,0.747059,0.000000,0.022017
0.020000,1.518469,2.876185,0.029285,0.209176,0.747059,0.000000,0.021111
0.020000,1.522801,2.876275,0.033618,0.224118,0.747059,-0.000000,0.020140
0.020000,1.527432,2.876366,0.038249,0.239059,0.747059,0.000000,0.019103
0.020000,1.532361,2.876457,0.043180,0.254000,0.747059,0.000000,0.018000
0.020000,1.537590,2.876548,0.048409,0.268941,0.747059,0.000000,0.016832
0.020000,1.543117,2.876638,0.053938,0.283882,0.747059,0.000000,0.015598
0.020000,1.548944,2.876725,0.059765,0.298824,0.747059,0.000000,0.014299
0.020000,1.555069,2.876808,0.065891,0.313765,0.747059,0.000000,0.012935
0.020000,1.561493,2.876887,0.072315,0.328706,0.747059,0.000000,0.011507
0.020000,1.568217,2.876959,0.079039,0.343647,0.747059,0.000000,0.010015
0.020000,1.575238,2.877024,0.086061,0.358588,0.747059,0.000000,0.008459
0.020000,1.582560,2.877080,0.093382,0.373529,0.747059,0.000000,0.006840
0.020000,1.590179,2.877126,0.101002,0.388471,0.747059,0.000000,0.005157
0.020000,1.598098,2.877160,0.108921,0.403412,0.747059,0.000000,0.003411
0.020000,1.606316,2.877180,0.117139,0.418353,0.747059,0.000000,0.001604
0.020000,1.614832,2.877186,0.125655,0.433294,0.747059,-0.000000,6.282920
0.020000,1.623647,2.877175,0.134471,0.448235,0.747059,0.000000,6.280989
0.020000,1.632762,2.877146,0.143585,0.463176,0.747059,-0.000000,6.278997
0.020000,1.642174,2.877097,0.152998,0.478118,0.747059,0.000000,6.276944
0.020000,1.651886,2.877026,0.162709,0.493059,0.747059,-0.000000,6.274832
0.020000,1.661896,2.876931,0.172720,0.508000,0.747059,0.000000,6.272660
0.020000,1.672205,2.876811,0.183029,0.522941,0.747059,0.000000,6.270429
0.020000,1.682812,2.876664,0.193638,0.537882,0.747059,0.000000,6.268140
0.020000,1.693718,2.876487,0.204545,0.552824,0.747059,0.000000,6.265794
0.020000,1.704921,2.876279,0.215751,0.567765,0.747059,0.000000,6.263390
0.020000,1.716424,2.876037,0.227255,0.582706,0.747059,0.000000,6.260930
0.020000,1.728224,2.875759,0.239059,0.597647,0.747059,0.000000,6.258415
0.020000,1.740322,2.875444,0.251161,0.612588,0.747059,0.000000,6.255844
0.020000,1.752718,2.875089,0.263562,0.627529,0.747059,0.000000,6.253219
0.020000,1.765412,2.874691,0.276262,0.642471,0.747059,0.000000,6.250541
0.020000,1.778403,2.874249,0.289261,0.657412,0.747059,0.000000,6.247811
0.020000,1.791692,2.873760,0.302559,0.672353,0.747059,0.000000,6.245029
0.020000,1.805278,2.873222,0.316155,0.687294,0.747059,0.000000,6.242195
0.020000,1.819161,2.872633,0.330051,0.702235,0.747059,0.000000,6.239312
0.020000,1.833340,2.871990,0.344245,0.717176,0.747059,0.000000,6.236380
0.020000,1.847816,2.871290,0.358738,0.732118,0.747059,0.000000,6.233400
0.020000,1.862588,2.870532,0.373529,0.747059,0.747059,0.000000,6.230373
0.020000,1.877657,2.869712,0.388620,0.762000,0.747059,0.000000,6.227300
0.020000,1.893021,2.868828,0.404009,0.776941,0.747059,0.000000,6.224181
0.020000,1.908680,2.867878,0.419698,0.791882,0.747059,0.000000,6.221019
