dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.502960,2.600742,0.000149,0.014941,0.747059,37.352941,0.027666
0.020000,1.502932,2.600742,0.000177,0.001391,-0.677507,-71.228281,0.027565
0.020000,1.502886,2.600740,0.000224,0.002318,0.046350,36.192860,0.027396
0.020000,1.502821,2.600739,0.000288,0.003245,0.046324,-0.001322,0.027160
0.020000,1.502738,2.600736,0.000372,0.004170,0.046287,-0.001852,0.026857
0.020000,1.502636,2.600734,0.000474,0.005095,0.046239,-0.002385,0.026486
0.020000,1.503674,2.600761,0.001512,0.051910,2.340754,114.725745,0.026049
0.020000,1.505776,2.600815,0.003614,0.105121,2.660546,15.989599,0.025544
0.020000,1.508157,2.600875,0.005997,0.119128,0.700347,-98.009943,0.024972
0.020000,1.510820,2.600941,0.008660,0.133166,0.701918,0.078533,0.024333
0.020000,1.513763,2.601011,0.011604,0.147173,0.700338,-0.078979,0.023628
0.020000,1.516986,2.601086,0.014828,0.161213,0.701985,0.082313,0.022855
0.020000,1.520490,2.601165,0.018333,0.175225,0.700629,-0.067786,0.022017
0.020000,1.524274,2.601247,0.022118,0.189265,0.701968,0.066971,0.021111
0.020000,1.528339,2.601330,0.026184,0.203295,0.701501,-0.023388,0.020140
0.020000,1.532685,2.601416,0.030530,0.217323,0.701419,-0.004101,0.019103
0.020000,1.537311,2.601502,0.035157,0.231357,0.701711,0.014624,0.018000
0.020000,1.542218,2.601587,0.040065,0.245408,0.702519,0.040379,0.016832
0.020000,1.547407,2.601671,0.045254,0.259449,0.702081,-0.021879,0.015598
0.020000,1.552876,2.601753,0.050724,0.273495,0.702272,0.009576,0.014299
0.020000,1.558626,2.601831,0.056475,0.287545,0.702492,0.011000,0.012935
0.020000,1.564658,2.601905,0.062507,0.301599,0.702697,0.010202,0.011507
0.020000,1.570971,2.601973,0.068820,0.315656,0.702886,0.009479,0.010015
0.020000,1.577565,2.602034,0.075415,0.329718,0.703063,0.008835,0.008459
0.020000,1.584440,2.602086,0.082291,0.343795,0.703884,0.041064,0.006840
0.020000,1.591598,2.602129,0.089448,0.357867,0.703592,-0.014624,0.005157
0.020000,1.599036,2.602161,0.096887,0.371941,0.703691,0.004952,0.003411
0.020000,1.606757,2.602181,0.104607,0.386021,0.704009,0.015918,0.001604
