dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.976704,2.685437,0.000148,0.014848,0.742417,37.120830,4.741016
0.020000,6.976707,2.685298,0.000287,0.006909,-0.396942,-56.967948,4.740513
0.020000,6.976714,2.685068,0.000517,0.011518,0.230427,31.368490,4.739676
0.020000,6.976727,2.684572,0.001013,0.024822,0.665198,21.738511,4.738502
0.020000,6.976771,2.682821,0.002765,0.087588,3.138309,123.655582,4.736993
0.020000,6.976822,2.680680,0.004907,0.107073,0.974236,-108.203647,4.735145
0.020000,6.976877,2.678149,0.007438,0.126583,0.975521,0.064245,4.732958
0.020000,6.976933,2.675227,0.010361,0.146127,0.977197,0.083802,4.730430
0.020000,6.976988,2.671913,0.013675,0.165697,0.978498,0.065025,4.727558
0.020000,6.977039,2.668208,0.017381,0.185286,0.979423,0.046256,4.724341
0.020000,6.977080,2.664110,0.021479,0.204921,0.981771,0.117388,4.720776
0.020000,6.977109,2.659618,0.025971,0.224593,0.983576,0.090278,4.716861
0.020000,6.977121,2.654732,0.030857,0.244301,0.985423,0.092341,4.712593
0.020000,6.977110,2.649451,0.036138,0.264037,0.986784,0.068058,4.707968
0.020000,6.977070,2.643775,0.041814,0.283826,0.989445,0.133045,4.702984
0.020000,6.976997,2.637702,0.047887,0.303658,0.991606,0.108024,4.697638
0.020000,6.976883,2.631233,0.054358,0.323523,0.993263,0.082886,4.691927
0.020000,6.976722,2.624366,0.061226,0.343434,0.995553,0.114487,4.685848
0.020000,6.976505,2.617101,0.068495,0.363407,0.998639,0.154274,4.679396
0.020000,6.976226,2.609438,0.076163,0.383400,0.999659,0.051002,4.672570
0.020000,6.975876,2.601377,0.084231,0.403431,1.001561,0.095123,4.665367
0.020000,6.975446,2.592918,0.092701,0.423508,1.003858,0.114830,4.657784
0.020000,6.974926,2.584061,0.101574,0.443617,1.005405,0.077350,4.649818
0.020000,6.974308,2.574806,0.110848,0.463740,1.006196,0.039563,4.641468
0.020000,6.973580,2.565156,0.120526,0.483899,1.007929,0.086641,4.632732
0.020000,6.972732,2.555110,0.130608,0.504062,1.008144,0.010745,4.623610
0.020000,6.971753,2.544671,0.141093,0.524246,1.009194,0.052510,4.614100
0.020000,6.970631,2.533841,0.151981,0.544407,1.008038,-0.057793,4.604203
0.020000,6.969354,2.522622,0.163272,0.564556,1.007461,-0.028829,4.593921
0.020000,6.967910,2.511019,0.174965,0.584671,1.005759,-0.085125,4.583255
0.020000,6.966286,2.499033,0.187061,0.604770,1.004951,-0.040375,4.572208
0.020000,6.964469,2.486670,0.199556,0.624773,1.000152,-0.239946,4.560785
0.020000,6.962447,2.473935,0.212451,0.644736,0.998128,-0.101201,4.548992
0.020000,6.960205,2.460834,0.225742,0.664579,0.992158,-0.298538,4.536834
0.020000,6.957730,2.447373,0.239429,0.684312,0.986670,-0.274360,4.524322
0.020000,6.955009,2.433560,0.253507,0.703906,0.979677,-0.349656,4.511464
0.020000,6.952029,2.419404,0.267974,0.723355,0.972470,-0.360389,4.498271
0.020000,6.948775,2.404912,0.282826,0.742601,0.962316,-0.507684,4.484759
0.020000,6.945235,2.390096,0.298059,0.761656,0.952715,-0.480031,4.470941
0.020000,6.941396,2.374967,0.313668,0.780462,0.940337,-0.618936,4.456834
0.020000,6.937245,2.359535,0.329649,0.799012,0.927487,-0.642465,4.442459
0.020000,6.932771,2.343814,0.345994,0.817273,0.913030,-0.722843,4.427835
0.020000,6.927962,2.327816,0.362699,0.835228,0.897767,-0.763193,4.412986
0.020000,6.922809,2.311556,0.379755,0.852837,0.880434,-0.866621,4.397935
0.020000,6.917301,2.295050,0.397157,0.870089,0.862625,-0.890474,4.382710
0.020000,6.911429,2.278311,0.414896,0.886949,0.843006,-0.980925,4.367338
0.020000,6.905186,2.261355,0.432964,0.903404,0.822722,-1.014208,4.351850
0.020000,6.898564,2.244200,0.451353,0.919430,0.801318,-1.070219,4.336276
0.020000,6.891560,2.226861,0.470053,0.935016,0.779277,-1.102012,4.320648
0.020000,6.884167,2.209356,0.489056,0.950139,0.756186,-1.154584,4.305000
0.020000,6.876383,2.191699,0.508352,0.964795,0.732787,-1.169909,4.289366
