dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.701816,2.677565,0.000148,0.014848,0.742417,37.120830,4.741016
0.020000,6.701816,2.677565,0.000594,0.029697,0.742417,0.000000,4.740513
0.020000,6.701816,2.677565,0.001336,0.044545,0.742417,-0.000000,4.739676
0.020000,6.701821,2.677391,0.002376,0.059393,0.742417,0.000000,4.738502
0.020000,6.701855,2.676055,0.003712,0.074242,0.742417,-0.000000,4.736993
0.020000,6.701893,2.674422,0.005345,0.089090,0.742417,0.000000,4.735145
0.020000,6.701935,2.672493,0.007276,0.103938,0.742417,0.000000,4.732958
0.020000,6.701978,2.670266,0.009503,0.118787,0.742417,-0.000000,4.730430
0.020000,6.702020,2.667742,0.012027,0.133635,0.742417,-0.000000,4.727558
0.020000,6.702058,2.664921,0.014848,0.148483,0.742417,0.000000,4.724341
0.020000,6.702090,2.661803,0.017966,0.163332,0.742417,0.000000,4.720776
0.020000,6.702112,2.658388,0.021382,0.178180,0.742417,-0.000000,4.716861
0.020000,6.702121,2.654676,0.025094,0.193028,0.742417,0.000000,4.712593
0.020000,6.702112,2.650667,0.029103,0.207877,0.742417,-0.000000,4.707968
0.020000,6.702082,2.646361,0.033409,0.222725,0.742417,0.000000,4.702984
0.020000,6.702027,2.641758,0.038012,0.237573,0.742417,0.000000,4.697638
0.020000,6.701941,2.636859,0.042912,0.252422,0.742417,-0.000000,4.691927
0.020000,6.701819,2.631664,0.048109,0.267270,0.742417,0.000000,4.685848
0.020000,6.701655,2.626172,0.053602,0.282118,0.742417,0.000000,4.679396
0.020000,6.701444,2.620385,0.059393,0.296967,0.742417,-0.000000,4.672570
0.020000,6.701180,2.614303,0.065481,0.311815,0.742417,0.000000,4.665367
0.020000,6.700856,2.607927,0.071866,0.326663,0.742417,-0.000000,4.657784
0.020000,6.700465,2.601256,0.078548,0.341512,0.742417,0.000000,4.649818
0.020000,6.699999,2.594293,0.085526,0.356360,0.742417,-0.000000,4.641468
0.020000,6.699452,2.587038,0.092802,0.371208,0.742417,0.000000,4.632732
0.020000,6.698815,2.579493,0.100375,0.386057,0.742417,0.000000,4.623610
0.020000,6.698080,2.571657,0.108244,0.400905,0.742417,-0.000000,4.614100
0.020000,6.697238,2.563534,0.116411,0.415753,0.742417,0.000000,4.604203
0.020000,6.696281,2.555125,0.124874,0.430602,0.742417,-0.000000,4.593921
0.020000,6.695199,2.546432,0.133635,0.445450,0.742417,0.000000,4.583255
0.020000,6.693983,2.537456,0.142692,0.460298,0.742417,-0.000000,4.572208
0.020000,6.692624,2.528201,0.152047,0.475147,0.742417,0.000000,4.560785
0.020000,6.691110,2.518669,0.161698,0.489995,0.742417,0.000000,4.548992
0.020000,6.689432,2.508864,0.171647,0.504843,0.742417,-0.000000,4.536834
0.020000,6.687579,2.498787,0.181892,0.519692,0.742417,0.000000,4.524322
0.020000,6.685542,2.488444,0.192434,0.534540,0.742417,-0.000000,4.511464
0.020000,6.683309,2.477837,0.203274,0.549388,0.742417,0.000000,4.498271
0.020000,6.680869,2.466972,0.214410,0.564237,0.742417,0.000000,4.484759
0.020000,6.678212,2.455851,0.225843,0.579085,0.742417,-0.000000,4.470941
0.020000,6.675327,2.444482,0.237573,0.593933,0.742417,0.000000,4.456834
0.020000,6.672203,2.432867,0.249600,0.608782,0.742417,0.000000,4.442459
0.020000,6.668830,2.421014,0.261925,0.623630,0.742417,0.000000,4.427835
0.020000,6.665196,2.408927,0.274546,0.638478,0.742417,-0.000000,4.412986
0.020000,6.661293,2.396613,0.287464,0.653327,0.742417,0.000000,4.397935
0.020000,6.657110,2.384078,0.300679,0.668175,0.742417,0.000000,4.382710
0.020000,6.652638,2.371328,0.314191,0.683023,0.742417,-0.000000,4.367338
0.020000,6.647866,2.358370,0.328000,0.697872,0.742417,0.000000,4.351850
0.020000,6.642787,2.345210,0.342106,0.712720,0.742417,0.000000,4.336276
0.020000,6.637392,2.331856,0.356508,0.727568,0.742417,0.000000,4.320648
0.020000,6.631673,2.318314,0.371208,0.742417,0.742417,-0.000000,4.305000
0.020000,6.625623,2.304592,0.386205,0.757265,0.742417,0.000000,4.289366
0.020000,6.619236,2.290696,0.401499,0.772113,0.742417,0.000000,4.273781
0.020000,6.612506,2.276633,0.417090,0.786962,0.742417,-0.000000,4.258281
0.020000,6.605426,2.262410,0.432977,0.801810,0.742417,0.000000,4.242899
0.020000,6.597994,2.248033,0.449162,0.816658,0.742417,0.000000,4.227672
0.020000,6.590204,2.233509,0.465644,0.831507,0.742417,-0.000000,4.212635
0.020000,6.582054,2.218842,0.482422,0.846355,0.742417,0.000000,4.197822
0.020000,6.573542,2.204040,0.499498,0.861203,0.742417,0.000000,4.183267
0.020000,6.564665,2.189107,0.516870,0.876052,0.742417,0.000000,4.169002
0.020000,6.555423,2.174047,0.534540,0.890900,0.742417,0.000000,4.155060
0.020000,6.545817,2.158865,0.552506,0.905748,0.742417,-0.000000,4.141472
0.020000,6.535845,2.143564,0.570770,0.920597,0.742417,0.000000,4.128266
0.020000,6.525510,2.128147,0.589330,0.935445,0.742417,-0.000000,4.115473
0.020000,6.514813,2.112617,0.608188,0.950293,0.742417,0.000000,4.103118
0.020000,6.503758,2.096976,0.627342,0.965142,0.742417,0.000000,4.091228
0.020000,6.492347,2.081223,0.646793,0.979990,0.742417,-0.000000,4.079828
0.020000,6.480584,2.065361,0.666542,0.994838,0.742417,0.000000,4.068942
0.020000,6.468474,2.049387,0.686587,1.009687,0.742417,0.000000,4.058591
0.020000,6.456022,2.033301,0.706929,1.024535,0.742417,0.000000,4.048800
0.020000,6.443234,2.017102,0.727568,1.039383,0.742417,0.000000,4.039587
0.020000,6.430115,2.000785,0.748504,1.054232,0.742417,0.000000,4.030976
0.020000,6.416674,1.984348,0.769738,1.069080,0.742417,-0.000000,4.022984
0.020000,6.402917,1.967786,0.791268,1.083928,0.742417,0.000000,4.015633
0.020000,6.388853,1.951094,0.813095,1.098777,0.742417,0.000000,4.008943
0.020000,6.374491,1.934266,0.835219,1.113625,0.742417,0.000000,4.002934
0.020000,6.359839,1.917295,0.857640,1.128473,0.742417,0.000000,3.997627
0.020000,6.344908,1.900172,0.880358,1.143322,0.742417,-0.000000,3.993043
0.020000,6.329710,1.882890,0.903373,1.158170,0.742417,0.000000,3.989205
0.020000,6.314254,1.865438,0.926684,1.173018,0.742417,0.000000,3.986136
0.020000,6.298555,1.847805,0.950293,1.187867,0.742417,-0.000000,3.983861
0.020000,6.282625,1.829980,0.974199,1.202715,0.742417,0.000000,3.982407
0.020000,6.266598,1.812084,0.998223,1.199677,-0.151894,-44.715529,3.981804
0.020000,6.250687,1.794324,1.022068,1.184829,-0.742417,-29.526130,3.982054
0.020000,6.234986,1.776774,1.045616,1.169980,-0.742417,0.000000,3.983132
0.020000,6.219508,1.759423,1.068867,1.155132,-0.742417,-0.000000,3.985008
0.020000,6.204267,1.742259,1.091821,1.140284,-0.742417,0.000000,3.987655
0.020000,6.189275,1.725271,1.114479,1.125435,-0.742417,0.000000,3.991049
0.020000,6.174542,1.708451,1.136839,1.110587,-0.742417,0.000000,3.995165
0.020000,6.160079,1.691790,1.158902,1.095739,-0.742417,0.000000,3.999980
0.020000,6.145895,1.675279,1.180668,1.080890,-0.742417,0.000000,4.005473
0.020000,6.132000,1.658913,1.202138,1.066042,-0.742417,-0.000000,4.011622
0.020000,6.118402,1.642684,1.223310,1.051194,-0.742417,0.000000,4.018407
0.020000,6.105109,1.626589,1.244185,1.036345,-0.742417,0.000000,4.025808
0.020000,6.092127,1.610622,1.264764,1.021497,-0.742417,-0.000000,4.033805
0.020000,6.079464,1.594780,1.285045,1.006649,-0.742417,0.000000,4.042377
0.020000,6.067124,1.579060,1.305030,0.991800,-0.742417,0.000000,4.051504
0.020000,6.055114,1.563460,1.324717,0.976952,-0.742417,-0.000000,4.061165
0.020000,6.043438,1.547979,1.344108,0.962104,-0.742417,0.000000,4.071339
0.020000,6.032100,1.532616,1.363201,0.947255,-0.742417,0.000000,4.082004
0.020000,6.021104,1.517371,1.381998,0.932407,-0.742417,-0.000000,4.093138
0.020000,6.010453,1.502246,1.400498,0.917559,-0.742417,0.000000,4.104715
0.020000,6.000150,1.487240,1.418700,0.902710,-0.742417,-0.000000,4.116713
0.020000,5.990195,1.472357,1.436606,0.887862,-0.742417,0.000000,4.129105
0.020000,5.980590,1.457599,1.454215,0.873014,-0.742417,-0.000000,4.141864
0.020000,5.971335,1.442968,1.471527,0.858165,-0.742417,0.000000,4.154964
0.020000,5.962431,1.428470,1.488542,0.843317,-0.742417,0.000000,4.168376
0.020000,5.953875,1.414107,1.505259,0.828469,-0.742417,-0.000000,4.182069
0.020000,5.945668,1.399884,1.521680,0.813620,-0.742417,0.000000,4.196014
0.020000,5.937806,1.385807,1.537804,0.798772,-0.742417,0.000000,4.210179
0.020000,5.930287,1.371881,1.553631,0.783924,-0.742417,-0.000000,4.224534
0.020000,5.923107,1.358110,1.569161,0.769075,-0.742417,0.000000,4.239044
0.020000,5.916262,1.344502,1.584394,0.754227,-0.742417,-0.000000,4.253680
0.020000,5.909747,1.331062,1.599330,0.739379,-0.742417,0.000000,4.268406
0.020000,5.903556,1.317796,1.613969,0.724530,-0.742417,0.000000,4.283192
0.020000,5.897684,1.304711,1.628311,0.709682,-0.742417,-0.000000,4.298004
0.020000,5.892124,1.291814,1.642357,0.694834,-0.742417,0.000000,4.312811
0.020000,5.886869,1.279110,1.656105,0.679985,-0.742417,-0.000000,4.327581
0.020000,5.881912,1.266606,1.669556,0.665137,-0.742417,0.000000,4.342285
0.020000,5.877243,1.254308,1.682710,0.650289,-0.742417,0.000000,4.356893
0.020000,5.872855,1.242222,1.695568,0.635440,-0.742417,-0.000000,4.371377
0.020000,5.868739,1.230356,1.708128,0.620592,-0.742417,0.000000,4.385709
0.020000,5.864886,1.218714,1.720391,0.605744,-0.742417,0.000000,4.399865
0.020000,5.861287,1.207302,1.732358,0.590895,-0.742417,0.000000,4.413820
0.020000,5.857931,1.196125,1.744027,0.576047,-0.742417,-0.000000,4.427552
0.020000,5.854808,1.185190,1.755400,0.561199,-0.742417,0.000000,4.441041
0.020000,5.851910,1.174500,1.766475,0.546350,-0.742417,-0.000000,4.454267
0.020000,5.849227,1.164061,1.777254,0.531502,-0.742417,0.000000,4.467212
0.020000,5.846747,1.153878,1.787735,0.516654,-0.742417,-0.000000,4.479862
0.020000,5.844461,1.143953,1.797920,0.501805,-0.742417,0.000000,4.492202
0.020000,5.842359,1.134291,1.807807,0.486957,-0.742417,-0.000000,4.504219
0.020000,5.840432,1.124896,1.817398,0.472109,-0.742417,0.000000,4.515902
0.020000,5.838669,1.115771,1.826692,0.457260,-0.742417,-0.000000,4.527243
0.020000,5.837062,1.106919,1.835688,0.442412,-0.742417,-0.000000,4.538233
0.020000,5.835600,1.098343,1.844388,0.427564,-0.742417,0.000000,4.548864
0.020000,5.834275,1.090046,1.852791,0.412715,-0.742417,0.000000,4.559133
0.020000,5.833077,1.082029,1.860897,0.397867,-0.742417,0.000000,4.569033
0.020000,5.831998,1.074295,1.868706,0.383019,-0.742417,-0.000000,4.578561
0.020000,5.831030,1.066846,1.876218,0.368170,-0.742417,-0.000000,4.587715
0.020000,5.830164,1.059683,1.883432,0.353322,-0.742417,0.000000,4.596494
0.020000,5.829393,1.052808,1.890350,0.338474,-0.742417,0.000000,4.604895
0.020000,5.828709,1.046223,1.896971,0.323625,-0.742417,0.000000,4.612920
0.020000,5.828105,1.039928,1.903295,0.308777,-0.742417,-0.000000,4.620567
0.020000,5.827574,1.033924,1.909322,0.293929,-0.742417,0.000000,4.627837
0.020000,5.827110,1.028213,1.915053,0.279080,-0.742417,0.000000,4.634733
0.020000,5.826706,1.022795,1.920486,0.264232,-0.742417,0.000000,4.641254
0.020000,5.826357,1.017670,1.925622,0.249384,-0.742417,0.000000,4.647403
0.020000,5.826057,1.012841,1.930461,0.234535,-0.742417,-0.000000,4.653181
0.020000,5.825800,1.008306,1.935003,0.219687,-0.742417,0.000000,4.658591
0.020000,5.825583,1.004066,1.939249,0.204839,-0.742417,-0.000000,4.663634
0.020000,5.825400,1.000122,1.943197,0.189990,-0.742417,0.000000,4.668313
0.020000,5.825247,0.996474,1.946848,0.175142,-0.742417,0.000000,4.672630
0.020000,5.825120,0.993122,1.950203,0.160294,-0.742417,-0.000000,4.676587
0.020000,5.825016,0.990066,1.953260,0.145445,-0.742417,0.000000,4.680186
0.020000,5.824932,0.987307,1.956020,0.130597,-0.742417,-0.000000,4.683429
0.020000,5.824864,0.984845,1.958484,0.115749,-0.742417,0.000000,4.686318
0.020000,5.824810,0.982679,1.960650,0.100900,-0.742417,-0.000000,4.688855
0.020000,5.824768,0.980810,1.962520,0.086052,-0.742417,0.000000,4.691040
0.020000,5.824736,0.979238,1.964092,0.071204,-0.742417,0.000000,4.692877
0.020000,5.824712,0.977962,1.965368,0.056355,-0.742417,-0.000000,4.694364
0.020000,5.824695,0.976984,1.966347,0.041507,-0.742417,0.000000,4.695505
0.020000,5.824684,0.976302,1.967028,0.026659,-0.742417,0.000000,4.696299
0.020000,5.824678,0.975917,1.967413,0.011810,-0.742417,-0.000000,4.696747
0.020000,5.824676,0.975799,1.967531,0.000000,-0.590523,7.594699,4.696884
0.020000,5.824676,0.975799,1.967531,0.000000,0.000000,29.526130,4.696884
0.020000,5.824676,0.975799,1.967531,0.000000,0.000000,0.000000,4.696884
