dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.426929,2.669694,0.000148,0.014848,0.742417,37.120830,4.741016
0.020000,6.426925,2.669832,0.000287,0.006909,-0.396942,-56.967948,4.740513
0.020000,6.426919,2.670062,0.000517,0.011518,0.230427,31.368490,4.739676
0.020000,6.426915,2.670211,0.000666,0.007441,-0.203832,-21.712956,4.738502
0.020000,6.426938,2.669290,0.001587,0.046068,1.931318,106.757477,4.736993
0.020000,6.426965,2.668165,0.002712,0.056263,0.509751,-71.078364,4.735145
0.020000,6.426993,2.666837,0.004041,0.066440,0.508858,-0.044633,4.732958
0.020000,6.427023,2.665305,0.005573,0.076598,0.507908,-0.047477,4.730430
0.020000,6.427052,2.663571,0.007308,0.086728,0.506512,-0.069806,4.727558
0.020000,6.427078,2.661634,0.009244,0.096822,0.504686,-0.091291,4.724341
0.020000,6.427100,2.659497,0.011382,0.106890,0.503388,-0.064924,4.720776
0.020000,6.427115,2.657158,0.013720,0.116922,0.501609,-0.088955,4.716861
0.020000,6.427121,2.654620,0.016259,0.126916,0.499678,-0.096519,4.712593
0.020000,6.427115,2.651883,0.018996,0.136863,0.497351,-0.116369,4.707968
0.020000,6.427095,2.648947,0.021932,0.146774,0.495583,-0.088412,4.702984
0.020000,6.427057,2.645815,0.025064,0.156644,0.493473,-0.105496,4.697638
0.020000,6.426998,2.642486,0.028394,0.166465,0.491062,-0.120540,4.691927
0.020000,6.426915,2.638962,0.031919,0.176245,0.488979,-0.104166,4.685848
0.020000,6.426805,2.635244,0.035638,0.185992,0.487350,-0.081416,4.679396
0.020000,6.426662,2.631333,0.039552,0.195687,0.484766,-0.129209,4.672570
0.020000,6.426484,2.627230,0.043659,0.205343,0.482798,-0.098436,4.665367
0.020000,6.426266,2.622936,0.047958,0.214968,0.481255,-0.077148,4.657784
0.020000,6.426003,2.618452,0.052450,0.224560,0.479626,-0.081421,4.649818
0.020000,6.425690,2.613780,0.057132,0.234120,0.477990,-0.081814,4.641468
0.020000,6.425324,2.608921,0.062005,0.243666,0.477286,-0.035211,4.632732
0.020000,6.424898,2.603875,0.067069,0.253193,0.476361,-0.046241,4.623610
0.020000,6.424407,2.598643,0.072324,0.262723,0.476496,0.006735,4.614100
