dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500498,3.275000,0.000149,0.014910,0.745515,37.275758,6.281373
0.020000,1.500463,3.275000,0.000184,0.001753,-0.657862,-70.168879,6.281501
0.020000,1.500405,3.275000,0.000243,0.002921,0.058389,35.812583,6.281713
0.020000,1.500323,3.275000,0.000324,0.004087,0.058320,-0.003445,6.282010
0.020000,1.500218,3.275000,0.000429,0.005252,0.058224,-0.004825,6.282392
0.020000,1.500090,3.275000,0.000558,0.006414,0.058100,-0.006206,6.282859
0.020000,1.500728,3.275000,0.001196,0.031895,1.274060,60.798036,0.000224
0.020000,1.502790,3.275001,0.003257,0.103097,3.560099,114.301910,0.000859
0.020000,1.505127,3.275004,0.005595,0.116861,0.688221,-143.593905,0.001577
0.020000,1.507739,3.275009,0.008207,0.130622,0.688032,-0.009450,0.002379
0.020000,1.510627,3.275017,0.011095,0.144394,0.688595,0.028172,0.003264
0.020000,1.513791,3.275029,0.014258,0.158169,0.688738,0.007165,0.004231
0.020000,1.517230,3.275046,0.017697,0.171954,0.689245,0.025320,0.005280
0.020000,1.520944,3.275067,0.021412,0.185739,0.689264,0.000951,0.006411
0.020000,1.524935,3.275095,0.025403,0.199541,0.690128,0.043191,0.007623
0.020000,1.529202,3.275131,0.029670,0.213345,0.690174,0.002338,0.008915
0.020000,1.533745,3.275174,0.034213,0.227157,0.690619,0.022250,0.010286
0.020000,1.538564,3.275227,0.039033,0.240984,0.691329,0.035501,0.011737
0.020000,1.543660,3.275291,0.044129,0.254819,0.691785,0.022788,0.013266
0.020000,1.549033,3.275367,0.049502,0.268665,0.692280,0.024743,0.014872
0.020000,1.554683,3.275455,0.055153,0.282521,0.692815,0.026763,0.016555
0.020000,1.560609,3.275559,0.061081,0.296389,0.693392,0.028848,0.018314
0.020000,1.566814,3.275678,0.067286,0.310269,0.694012,0.030998,0.020147
0.020000,1.573295,3.275815,0.073769,0.324163,0.694676,0.033215,0.022055
0.020000,1.580055,3.275971,0.080531,0.338071,0.695386,0.035497,0.024035
0.020000,1.587093,3.276147,0.087571,0.351994,0.696143,0.037845,0.026087
0.020000,1.594409,3.276346,0.094889,0.365933,0.696948,0.040258,0.028210
0.020000,1.602003,3.276568,0.102487,0.379889,0.697803,0.042734,0.030403
0.020000,1.609876,3.276817,0.110364,0.393852,0.698147,0.017174,0.032664
0.020000,1.618028,3.277093,0.118521,0.407838,0.699320,0.058666,0.034992
0.020000,1.626460,3.277398,0.126958,0.421849,0.700531,0.060559,0.037387
0.020000,1.635171,3.277734,0.135675,0.435859,0.700525,-0.000325,0.039846
0.020000,1.644161,3.278104,0.144673,0.449908,0.702437,0.095600,0.042368
0.020000,1.653431,3.278509,0.153952,0.463959,0.702585,0.007407,0.044952
0.020000,1.662982,3.278952,0.163513,0.478048,0.704433,0.092438,0.047596
0.020000,1.672813,3.279433,0.173356,0.492135,0.704330,-0.005196,0.050300
0.020000,1.682925,3.279956,0.183481,0.506263,0.706390,0.103012,0.053061
0.020000,1.693318,3.280523,0.193889,0.520407,0.707236,0.042320,0.055878
0.020000,1.703991,3.281135,0.204581,0.534561,0.707689,0.022623,0.058749
0.020000,1.714946,3.281796,0.215556,0.548751,0.709492,0.090169,0.061673
0.020000,1.726183,3.282506,0.226815,0.562962,0.710574,0.054088,0.064648
0.020000,1.737702,3.283270,0.238359,0.577196,0.711696,0.056106,0.067672
0.020000,1.749503,3.284088,0.250188,0.591453,0.712860,0.058194,0.070744
0.020000,1.761586,3.284963,0.262303,0.605735,0.714067,0.060343,0.073861
0.020000,1.773951,3.285898,0.274703,0.620041,0.715318,0.062546,0.077023
0.020000,1.786599,3.286894,0.287391,0.634373,0.716614,0.064795,0.080226
0.020000,1.799531,3.287955,0.300366,0.648733,0.717955,0.067082,0.083469
0.020000,1.812745,3.289082,0.313628,0.663119,0.719343,0.069399,0.086750
0.020000,1.826243,3.290279,0.327179,0.677535,0.720778,0.071735,0.090068
0.020000,1.840024,3.291547,0.341018,0.691980,0.722260,0.074084,0.093420
0.020000,1.854089,3.292889,0.355147,0.706439,0.722959,0.034978,0.096803
0.020000,1.868438,3.294307,0.369566,0.720938,0.724946,0.099356,0.100217
0.020000,1.883071,3.295804,0.384275,0.735474,0.726795,0.092424,0.103659
0.020000,1.897988,3.297382,0.399276,0.750017,0.727132,0.016892,0.107126
0.020000,1.913190,3.299043,0.414568,0.764611,0.729698,0.128277,0.110617
0.020000,1.928676,3.300791,0.430152,0.779221,0.730501,0.040159,0.114130
0.020000,1.944447,3.302627,0.446030,0.793872,0.732572,0.103525,0.117662
0.020000,1.960502,3.304554,0.462200,0.808539,0.733351,0.038967,0.121211
0.020000,1.976843,3.306574,0.478666,0.823258,0.735928,0.128866,0.124774
0.020000,1.993469,3.308690,0.495425,0.837985,0.736361,0.021656,0.128351
0.020000,2.010380,3.310903,0.512480,0.852755,0.738512,0.107513,0.131937
0.020000,2.027576,3.313217,0.529832,0.867561,0.740311,0.089942,0.135532
0.020000,2.045058,3.315633,0.547480,0.882397,0.741780,0.073486,0.139132
0.020000,2.062825,3.318154,0.565425,0.897255,0.742913,0.056641,0.142735
0.020000,2.080878,3.320781,0.583668,0.912150,0.744725,0.090594,0.146340
0.020000,2.099216,3.323518,0.602209,0.927081,0.746541,0.090805,0.149943
0.020000,2.117841,3.326366,0.621050,0.942043,0.748131,0.079474,0.153542
0.020000,2.136751,3.329328,0.640191,0.957038,0.749748,0.080886,0.157135
0.020000,2.155947,3.332405,0.659632,0.972066,0.751394,0.082269,0.160720
0.020000,2.175430,3.335599,0.679375,0.987127,0.753066,0.083613,0.164294
0.020000,2.195198,3.338912,0.699419,1.002218,0.754532,0.073294,0.167855
0.020000,2.215253,3.342347,0.719766,1.017336,0.755919,0.069347,0.171400
0.020000,2.235594,3.345906,0.740416,1.032498,0.758058,0.106957,0.174927
0.020000,2.256222,3.349589,0.761370,1.047694,0.759829,0.088549,0.178433
0.020000,2.277136,3.353398,0.782628,1.062921,0.761361,0.076604,0.181917
0.020000,2.298337,3.357336,0.804191,1.078165,0.762199,0.041888,0.185375
0.020000,2.319824,3.361404,0.826061,1.093467,0.765097,0.144901,0.188806
0.020000,2.341599,3.365603,0.848236,1.108785,0.765892,0.039739,0.192207
0.020000,2.363660,3.369935,0.870719,1.124143,0.767880,0.099434,0.195575
0.020000,2.386009,3.374402,0.893510,1.139533,0.769487,0.080363,0.198909
0.020000,2.408645,3.379004,0.916609,1.154956,0.771178,0.084530,0.202205
0.020000,2.431569,3.383742,0.940017,1.170406,0.772485,0.065327,0.205462
0.020000,2.454780,3.388619,0.963735,1.185905,0.774955,0.123546,0.208677
0.020000,2.478279,3.393634,0.987764,1.201413,0.775421,0.023298,0.211847
0.020000,2.502066,3.398789,1.012103,1.216970,0.777820,0.119937,0.214971
0.020000,2.526142,3.404085,1.036754,1.232561,0.779573,0.087659,0.218045
0.020000,2.550506,3.409522,1.061718,1.248183,0.781095,0.076080,0.221068
0.020000,2.575159,3.415101,1.086994,1.263828,0.782258,0.058130,0.224037
0.020000,2.600102,3.420823,1.112585,1.279512,0.784193,0.096783,0.226949
0.020000,2.625334,3.426688,1.138489,1.295231,0.785963,0.088510,0.229803
0.020000,2.650856,3.432696,1.164709,1.310983,0.787571,0.080358,0.232595
0.020000,2.676668,3.438848,1.191244,1.326767,0.789199,0.081411,0.235325
0.020000,2.702771,3.445144,1.218096,1.342584,0.790847,0.082420,0.237988
0.020000,2.729166,3.451583,1.245265,1.358434,0.792515,0.083376,0.240583
0.020000,2.755852,3.458166,1.272751,1.374318,0.794200,0.084273,0.243107
0.020000,2.782831,3.464893,1.300556,1.390228,0.795477,0.063838,0.245558
0.020000,2.810102,3.471762,1.328679,1.406176,0.797423,0.097305,0.247934
0.020000,2.837668,3.478774,1.357122,1.422161,0.799274,0.092545,0.250232
0.020000,2.865528,3.485928,1.385886,1.438182,0.801030,0.087826,0.252449
0.020000,2.893682,3.493223,1.414970,1.454226,0.802185,0.057749,0.254583
0.020000,2.922133,3.500658,1.444377,1.470311,0.804248,0.103144,0.256632
0.020000,2.950881,3.508232,1.474105,1.486437,0.806295,0.102312,0.258593
0.020000,2.979926,3.515944,1.504157,1.502579,0.807124,0.041491,0.260464
0.020000,3.009270,3.523793,1.534533,1.518778,0.809960,0.141780,0.262242
0.020000,3.038913,3.531777,1.565232,1.534993,0.810734,0.038684,0.263924
0.020000,3.068858,3.539895,1.596258,1.551262,0.813426,0.134614,0.265508
0.020000,3.099104,3.548144,1.627609,1.567552,0.814539,0.055649,0.266991
0.020000,3.129654,3.556523,1.659286,1.583888,0.816807,0.113397,0.268370
0.020000,3.160508,3.565030,1.691292,1.600263,0.818726,0.095947,0.269644
0.020000,3.191668,3.573661,1.723625,1.616668,0.820275,0.077451,0.270808
0.020000,3.223135,3.582416,1.756287,1.633118,0.822463,0.109419,0.271860
0.020000,3.254911,3.591290,1.789280,1.649607,0.824483,0.101012,0.272798
0.020000,3.286998,3.600282,1.822602,1.666137,0.826471,0.099359,0.273618
0.020000,3.319397,3.609387,1.856256,1.682707,0.828519,0.102402,0.274317
0.020000,3.352110,3.618604,1.890243,1.699320,0.830627,0.105426,0.274892
0.020000,3.385139,3.627927,1.924562,1.715976,0.832796,0.108424,0.275341
0.020000,3.418485,3.637354,1.959216,1.732676,0.835024,0.111391,0.275659
0.020000,3.452152,3.646881,1.994204,1.749422,0.837310,0.114324,0.275843
0.020000,3.486140,3.656503,2.029529,1.766215,0.839654,0.117220,0.275891
