dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500000,3.000000,0.000149,0.014910,0.745515,37.275758,6.281373
0.020000,1.500000,3.000000,0.000596,0.029821,0.745515,0.000000,6.281501
0.020000,1.500000,3.000000,0.001342,0.044731,0.745515,-0.000000,6.281713
0.020000,1.500000,3.000000,0.002386,0.059641,0.745515,0.000000,6.282010
0.020000,1.500000,3.000000,0.003728,0.074552,0.745515,0.000000,6.282392
0.020000,1.500000,3.000000,0.005368,0.089462,0.745515,-0.000000,6.282859
0.020000,1.500789,3.000000,0.007306,0.104372,0.745515,0.000000,0.000224
0.020000,1.503026,3.000001,0.009543,0.119282,0.745515,0.000000,0.000859
0.020000,1.505561,3.000004,0.012077,0.134193,0.745515,-0.000000,0.001577
0.020000,1.508394,3.000010,0.014910,0.149103,0.745515,0.000000,0.002379
0.020000,1.511525,3.000019,0.018041,0.164013,0.745515,-0.000000,0.003264
0.020000,1.514954,3.000032,0.021471,0.178924,0.745515,0.000000,0.004231
0.020000,1.518682,3.000049,0.025198,0.193834,0.745515,0.000000,0.005280
0.020000,1.522707,3.000073,0.029224,0.208744,0.745515,-0.000000,0.006411
0.020000,1.527031,3.000103,0.033548,0.223655,0.745515,0.000000,0.007623
0.020000,1.531653,3.000142,0.038170,0.238565,0.745515,-0.000000,0.008915
0.020000,1.536573,3.000189,0.043091,0.253475,0.745515,-0.000000,0.010286
0.020000,1.541792,3.000246,0.048309,0.268385,0.745515,0.000000,0.011737
0.020000,1.547308,3.000315,0.053826,0.283296,0.745515,0.000000,0.013266
0.020000,1.553123,3.000397,0.059641,0.298206,0.745515,0.000000,0.014872
0.020000,1.559235,3.000493,0.065754,0.313116,0.745515,-0.000000,0.016555
0.020000,1.565645,3.000605,0.072166,0.328027,0.745515,0.000000,0.018314
0.020000,1.572354,3.000734,0.078876,0.342937,0.745515,0.000000,0.020147
0.020000,1.579360,3.000882,0.085883,0.357847,0.745515,-0.000000,0.022055
0.020000,1.586664,3.001050,0.093189,0.372758,0.745515,0.000000,0.024035
0.020000,1.594266,3.001241,0.100794,0.387668,0.745515,0.000000,0.026087
0.020000,1.602166,3.001455,0.108696,0.402578,0.745515,0.000000,0.028210
0.020000,1.610363,3.001695,0.116897,0.417488,0.745515,-0.000000,0.030403
0.020000,1.618857,3.001963,0.125396,0.432399,0.745515,0.000000,0.032664
0.020000,1.627649,3.002261,0.134193,0.447309,0.745515,0.000000,0.034992
0.020000,1.636739,3.002590,0.143288,0.462219,0.745515,-0.000000,0.037387
