dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.499502,2.725000,0.000149,0.014910,0.745515,37.275758,6.281373
0.020000,1.499537,2.725000,0.000184,0.001753,-0.657862,-70.168879,6.281501
0.020000,1.499595,2.725000,0.000243,0.002921,0.058389,35.812583,6.281713
0.020000,1.499677,2.725000,0.000324,0.004087,0.058320,-0.003445,6.282010
0.020000,1.499782,2.725000,0.000429,0.005252,0.058224,-0.004825,6.282392
0.020000,1.499910,2.725000,0.000558,0.006414,0.058100,-0.006206,6.282859
0.020000,1.500851,2.725000,0.001498,0.047040,2.031309,98.660486,0.000224
0.020000,1.503262,2.725001,0.003909,0.120552,3.675601,82.214595,0.000859
0.020000,1.505994,2.725005,0.006642,0.136619,0.803336,-143.613258,0.001577
0.020000,1.509048,2.725011,0.009695,0.152670,0.802587,-0.037447,0.002379
0.020000,1.512422,2.725020,0.013070,0.168724,0.802655,0.003397,0.003264
0.020000,1.516118,2.725034,0.016765,0.184767,0.802169,-0.024306,0.004231
0.020000,1.520134,2.725053,0.020781,0.200808,0.802044,-0.006254,0.005280
0.020000,1.524470,2.725079,0.025118,0.216833,0.801286,-0.037880,0.006411
0.020000,1.529127,2.725111,0.029775,0.232863,0.801452,0.008255,0.007623
0.020000,1.534105,2.725152,0.034753,0.248875,0.800599,-0.042624,0.008915
0.020000,1.539402,2.725203,0.040050,0.264877,0.800147,-0.022578,0.010286
0.020000,1.545019,2.725265,0.045668,0.280876,0.799941,-0.010347,0.011737
0.020000,1.550956,2.725339,0.051605,0.296864,0.799373,-0.028400,0.013266
0.020000,1.557212,2.725427,0.057862,0.312839,0.798786,-0.029351,0.014872
0.020000,1.563787,2.725531,0.064438,0.328803,0.798181,-0.030237,0.016555
0.020000,1.570682,2.725651,0.071333,0.344754,0.797560,-0.031057,0.018314
0.020000,1.577894,2.725790,0.078547,0.360693,0.796923,-0.031810,0.020147
0.020000,1.585425,2.725949,0.086079,0.376618,0.796274,-0.032495,0.022055
0.020000,1.593273,2.726130,0.093930,0.392530,0.795611,-0.033111,0.024035
0.020000,1.601439,2.726334,0.102098,0.408429,0.794938,-0.033657,0.026087
0.020000,1.609922,2.726565,0.110585,0.424314,0.794256,-0.034133,0.028210
0.020000,1.618722,2.726823,0.119388,0.440186,0.793565,-0.034539,0.030403
0.020000,1.627838,2.727110,0.128509,0.456030,0.792217,-0.067395,0.032664
0.020000,1.637270,2.727429,0.137946,0.471865,0.791765,-0.022577,0.034992
0.020000,1.647018,2.727782,0.147700,0.487691,0.791291,-0.023691,0.037387
0.020000,1.657080,2.728171,0.157770,0.503478,0.789346,-0.097286,0.039846
0.020000,1.667456,2.728598,0.168155,0.519269,0.789553,0.010344,0.042368
0.020000,1.678147,2.729065,0.178855,0.535022,0.787659,-0.094700,0.044952
0.020000,1.689150,2.729574,0.189871,0.550775,0.787663,0.000220,0.047596
0.020000,1.700466,2.730129,0.201201,0.566483,0.785354,-0.115436,0.050300
0.020000,1.712095,2.730730,0.212844,0.582192,0.785476,0.006073,0.053061
0.020000,1.724034,2.731381,0.224802,0.597875,0.784137,-0.066922,0.055878
0.020000,1.736285,2.732084,0.237072,0.613521,0.782287,-0.092507,0.058749
0.020000,1.748845,2.732841,0.249656,0.629159,0.781928,-0.017946,0.061673
0.020000,1.761715,2.733655,0.262551,0.644773,0.780681,-0.062359,0.064648
0.020000,1.774893,2.734529,0.275758,0.660361,0.779422,-0.062935,0.067672
0.020000,1.788379,2.735463,0.289277,0.675924,0.778155,-0.063381,0.070744
0.020000,1.802172,2.736462,0.303106,0.691462,0.776881,-0.063705,0.073861
0.020000,1.816272,2.737528,0.317245,0.706974,0.775602,-0.063911,0.077023
0.020000,1.830676,2.738663,0.331695,0.722460,0.774322,-0.064006,0.080226
0.020000,1.845385,2.739870,0.346453,0.737921,0.773042,-0.063996,0.083469
0.020000,1.860398,2.741151,0.361520,0.753357,0.771765,-0.063889,0.086750
0.020000,1.875713,2.742508,0.376895,0.768766,0.770491,-0.063691,0.090068
0.020000,1.891330,2.743945,0.392578,0.784151,0.769223,-0.063410,0.093420
0.020000,1.907248,2.745464,0.408568,0.799491,0.767024,-0.109941,0.096803
0.020000,1.923465,2.747066,0.424865,0.814816,0.766240,-0.039202,0.100217
0.020000,1.939981,2.748756,0.441467,0.830121,0.765254,-0.049285,0.103659
0.020000,1.956795,2.750535,0.458375,0.845372,0.762524,-0.136491,0.107126
0.020000,1.973905,2.752405,0.475587,0.860617,0.762269,-0.012763,0.110617
0.020000,1.991311,2.754369,0.493103,0.875817,0.759991,-0.113890,0.114130
0.020000,2.009012,2.756430,0.510923,0.890999,0.759105,-0.044312,0.117662
0.020000,2.027005,2.758589,0.529046,0.906134,0.756737,-0.118405,0.121211
0.020000,2.045291,2.760850,0.547471,0.921261,0.756354,-0.019143,0.124774
0.020000,2.063868,2.763214,0.566198,0.936332,0.753542,-0.140605,0.128351
0.020000,2.082735,2.765683,0.585225,0.951384,0.752625,-0.045821,0.131937
0.020000,2.101890,2.768260,0.604554,0.966410,0.751290,-0.066787,0.135532
0.020000,2.121334,2.770948,0.624182,0.981401,0.749564,-0.086261,0.139132
0.020000,2.141063,2.773747,0.644109,0.996350,0.747446,-0.105921,0.142735
0.020000,2.161078,2.776660,0.664334,1.011271,0.746065,-0.069055,0.146340
0.020000,2.181376,2.779689,0.684857,1.026165,0.744671,-0.069710,0.149943
0.020000,2.201957,2.782837,0.705678,1.041025,0.743010,-0.083016,0.153542
0.020000,2.222820,2.786104,0.726795,1.055852,0.741369,-0.082080,0.157135
0.020000,2.243963,2.789493,0.748208,1.070647,0.739747,-0.081098,0.160720
0.020000,2.265385,2.793005,0.769916,1.085410,0.738145,-0.080085,0.164294
0.020000,2.287085,2.796642,0.791919,1.100136,0.736309,-0.091795,0.167855
0.020000,2.309062,2.800407,0.814215,1.114824,0.734382,-0.096355,0.171400
0.020000,2.331314,2.804299,0.836805,1.129490,0.733275,-0.055382,0.174927
0.020000,2.353840,2.808321,0.859688,1.144125,0.731758,-0.075820,0.178433
0.020000,2.376639,2.812474,0.882862,1.158724,0.729978,-0.088983,0.181917
0.020000,2.399710,2.816759,0.906327,1.173273,0.727444,-0.126736,0.185375
0.020000,2.423052,2.821178,0.930084,1.187816,0.727151,-0.014623,0.188806
0.020000,2.446663,2.825732,0.954130,1.202308,0.724571,-0.128997,0.192207
0.020000,2.470542,2.830421,0.978465,1.216773,0.723291,-0.064035,0.195575
0.020000,2.494689,2.835246,1.003090,1.231205,0.721598,-0.084651,0.198909
0.020000,2.519102,2.840209,1.028002,1.245605,0.719997,-0.080023,0.202205
0.020000,2.543779,2.845310,1.053201,1.259965,0.717986,-0.100557,0.205462
0.020000,2.568721,2.850550,1.078687,1.274310,0.717230,-0.037780,0.208677
0.020000,2.593925,2.855930,1.104459,1.288596,0.714323,-0.145392,0.211847
0.020000,2.619391,2.861448,1.130516,1.302866,0.713494,-0.041434,0.214971
0.020000,2.645119,2.867107,1.156858,1.317105,0.711972,-0.076087,0.218045
0.020000,2.671106,2.872907,1.183485,1.331310,0.710204,-0.088392,0.221068
0.020000,2.697351,2.878846,1.210394,1.345471,0.708056,-0.107394,0.224037
0.020000,2.723855,2.884926,1.237586,1.359605,0.706733,-0.066175,0.226949
0.020000,2.750616,2.891147,1.265060,1.373710,0.705231,-0.075119,0.229803
0.020000,2.777633,2.897507,1.292816,1.387781,0.703552,-0.083917,0.232595
0.020000,2.804905,2.904007,1.320852,1.401819,0.701893,-0.082989,0.235325
0.020000,2.832432,2.910646,1.349169,1.415824,0.700248,-0.082202,0.237988
0.020000,2.860214,2.917424,1.377765,1.429796,0.698617,-0.081572,0.240583
0.020000,2.888248,2.924339,1.406639,1.443736,0.696995,-0.081115,0.243107
0.020000,2.916535,2.931392,1.435792,1.457635,0.694932,-0.103123,0.245558
0.020000,2.945073,2.938580,1.465222,1.471506,0.693558,-0.068692,0.247934
0.020000,2.973863,2.945904,1.494929,1.485347,0.692066,-0.074616,0.250232
0.020000,3.002904,2.953361,1.524912,1.499156,0.690454,-0.080588,0.252449
0.020000,3.032196,2.960950,1.555171,1.512920,0.688194,-0.113016,0.254583
0.020000,3.061737,2.968670,1.585704,1.526657,0.686854,-0.067009,0.256632
0.020000,3.091527,2.976519,1.616511,1.540366,0.685464,-0.069488,0.258593
0.020000,3.121567,2.984496,1.647592,1.554022,0.682782,-0.134119,0.260464
0.020000,3.151855,2.992597,1.678945,1.567665,0.682138,-0.032183,0.262242
0.020000,3.182392,3.000822,1.710570,1.581251,0.679322,-0.140778,0.263924
0.020000,3.213177,3.009167,1.742466,1.594820,0.678440,-0.044111,0.265508
0.020000,3.244211,3.017631,1.774633,1.608338,0.675882,-0.127912,0.266991
0.020000,3.275492,3.026211,1.807070,1.621827,0.674456,-0.071279,0.268370
0.020000,3.307021,3.034903,1.839775,1.635279,0.672611,-0.092245,0.269644
0.020000,3.338798,3.043706,1.872749,1.648686,0.670325,-0.114344,0.270808
0.020000,3.370823,3.052615,1.905990,1.662058,0.668621,-0.085201,0.271860
0.020000,3.403096,3.061629,1.939498,1.675391,0.666668,-0.097621,0.272798
0.020000,3.435617,3.070742,1.973272,1.688683,0.664600,-0.103394,0.273618
0.020000,3.468386,3.079951,2.007310,1.701934,0.662506,-0.104692,0.274317
0.020000,3.501404,3.089254,2.041613,1.715141,0.660380,-0.106341,0.274892
0.020000,3.534670,3.098644,2.076179,1.728305,0.658213,-0.108356,0.275341
0.020000,3.568185,3.108119,2.111008,1.741425,0.655997,-0.110753,0.275659
0.020000,3.601949,3.117673,2.146098,1.754500,0.653727,-0.113546,0.275843
0.020000,3.635963,3.127302,2.181448,1.767528,0.651392,-0.116749,0.275891
0.020000,3.670226,3.137002,2.217058,1.780507,0.648984,-0.120372,0.275798
0.020000,3.704741,3.146765,2.252927,1.793437,0.646496,-0.124428,0.275562
0.020000,3.739506,3.156589,2.289054,1.806316,0.643917,-0.128924,0.275177
0.020000,3.774522,3.166466,2.325436,1.819144,0.641440,-0.123863,0.274641
0.020000,3.809791,3.176390,2.362075,1.831916,0.638589,-0.142537,0.273950
0.020000,3.845312,3.186356,2.398967,1.844631,0.635720,-0.143430,0.273099
0.020000,3.881086,3.196358,2.436113,1.857294,0.633193,-0.126385,0.272084
0.020000,3.917114,3.206387,2.473511,1.869889,0.629743,-0.172512,0.270902
0.020000,3.953396,3.216438,2.511160,1.882432,0.627149,-0.129657,0.269546
